央视频道,#genre#
CETV2SD,http://182.149.148.252:4022/rtp/239.94.2.228:5140
CETV4SD,http://182.149.148.252:4022/rtp/239.94.2.229:5140
CGTNSD,http://182.149.148.252:4022/rtp/239.94.2.164:5140
CGTN西语SD,http://182.149.148.252:4022/rtp/239.94.2.237:5140
CGTN法语SD,http://182.149.148.252:4022/rtp/239.94.2.238:5140
CCTV4K,http://182.149.150.3:4022/rtp/239.94.0.20:5140
CCTV1,http://182.149.150.3:4022/rtp/239.94.0.1:5140
CCTV1,http://182.149.150.3:4022/rtp/239.94.2.34:5140
CCTV1,http://182.149.150.3:4022/rtp/239.94.1.18:5140
CCTV1,http://182.149.150.3:4022/rtp/239.94.1.151:5140
CCTV1,http://182.149.150.3:4022/rtp/239.94.0.31:5140
CCTV1,http://182.149.150.3:4022/rtp/239.94.2.69:5140
CCTV2,http://182.149.150.3:4022/rtp/239.94.2.70:5140
CCTV2,http://182.149.150.3:4022/rtp/239.94.0.2:5140
CCTV2,http://182.149.150.3:4022/rtp/239.94.2.35:5140
CCTV3,http://182.149.150.3:4022/rtp/239.94.0.32:5140
CCTV3,http://182.149.150.3:4022/rtp/239.94.0.3:5140
CCTV4,http://182.149.150.3:4022/rtp/239.94.0.4:5140
CCTV5,http://182.149.150.3:4022/rtp/239.94.0.33:5140
CCTV5,http://182.149.150.3:4022/rtp/239.94.2.30:5140
CCTV5,http://182.149.150.3:4022/rtp/239.94.0.5:5140
CCTV5+,http://182.149.150.3:4022/rtp/239.94.0.19:5140
CCTV5+,http://182.149.150.3:4022/rtp/239.94.0.23:5140
CCTV6,http://182.149.150.3:4022/rtp/239.94.0.6:5140
CCTV6,http://182.149.150.3:4022/rtp/239.94.2.33:5140
CCTV6,http://182.149.150.3:4022/rtp/239.94.0.34:5140
CCTV7,http://182.149.150.3:4022/rtp/239.94.0.7:5140
CCTV8,http://182.149.150.3:4022/rtp/239.94.0.8:5140
CCTV8,http://182.149.150.3:4022/rtp/239.94.0.35:5140
CCTV8,http://182.149.150.3:4022/rtp/239.94.2.29:5140
CCTV9,http://182.149.150.3:4022/rtp/239.94.2.32:5140
CCTV9,http://182.149.150.3:4022/rtp/239.94.0.9:5140
CCTV10,http://182.149.150.3:4022/rtp/239.94.0.10:5140
CCTV10,http://182.149.150.3:4022/rtp/239.94.2.31:5140
CCTV11,http://182.149.150.3:4022/rtp/239.94.0.11:5140
CCTV11,http://182.149.150.3:4022/rtp/239.94.0.36:5140
CCTV12,http://182.149.150.3:4022/rtp/239.94.0.12:5140
CCTV13,http://182.149.150.3:4022/rtp/239.94.0.13:5140
CCTV13,http://182.149.150.3:4022/rtp/239.94.0.37:5140
CCTV14,http://182.149.150.3:4022/rtp/239.94.0.14:5140
CCTV15,http://182.149.150.3:4022/rtp/239.94.0.15:5140
CCTV15,http://182.149.150.3:4022/rtp/239.94.0.38:5140
CCTV17,http://182.149.150.3:4022/rtp/239.94.0.39:5140
